"ntree","repetition","OOB_error"
25,1,0.0363532427067367
50,1,0.0343744503354524
100,1,0.0338907455335829
200,1,0.0334321682538885
300,1,0.0330364097796316
400,1,0.0332939668819258
500,1,0.0325589868583059
600,1,0.0325338593361309
750,1,0.0328102620800563
25,2,0.0373960348770008
50,2,0.0343556046938211
100,2,0.0334761414176948
200,2,0.0333442219262758
300,2,0.032973590974194
400,2,0.0326657788275498
500,2,0.0325527049777621
600,2,0.0327223157524437
750,2,0.0326971882302686
25,3,0.0376601104361537
50,3,0.0343932959770837
100,3,0.0329044902882127
200,3,0.0328667990049501
300,3,0.0329421815714752
400,3,0.0325338593361309
500,3,0.0326971882302686
600,3,0.0328102620800563
750,3,0.0328228258411438
25,4,0.0362213232153177
50,4,0.0339095911752142
100,4,0.0336080609091138
200,4,0.0327223157524437
300,4,0.032791416438425
400,4,0.0328039801995125
500,4,0.0327411613940749
600,4,0.0327788526773375
750,4,0.0327285976329874
25,5,0.0356433902052919
50,5,0.0344435510214338
100,5,0.033262557479207
200,5,0.0329861547352816
300,5,0.0331997386737694
400,5,0.0327034701108124
500,5,0.0328228258411438
600,5,0.0326657788275498
750,5,0.0325401412166746
