"","X","Transmitting.time","Altitude..Ellipsoid.","NED.Speed","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.Source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"1","2","2022-09-27T12:03:11.483Z","756.43","","0","2","0","0","27","[1]","0.86","druid","2022-09-24","04:03:01","2022-09-24 04:03:01","1.49","-3.5642856","39.6556768","6","0","704.77","1300000296","14400","0","259","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_12072",2,451591.545946102,4389693.97867839,451591.545946102,4389693.97867839,NA,NA
"2","3","2022-09-27T12:03:11.484Z","759.01","","117.4","2","0","0","34","[1]","0.79","druid","2022-09-24","08:03:07","2022-09-24 08:03:07","0.86","-3.5646948","39.6555392","9","0","707.35","1300000296","14406","0","259","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_12072",3,451556.345574572,4389678.92791669,451556.345574572,4389678.92791669,0.0026572531157605,"NO"
"3","4","2022-09-27T12:03:11.485Z","762.42","","164.6","2","0","0","24","[1]","0.78","druid","2022-09-24","12:03:01","2022-09-24 12:03:01","0.82","-3.565056","39.6552608","10","0","710.75","1300000296","14394","0","259","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_12072",4,451525.164536293,4389648.22476241,451525.164536293,4389648.22476241,0.00303994698985953,"NO"
"4","5","2022-09-27T12:03:11.486Z","766.31","","0","2","0","0","9","[1]","0.91","druid","2022-09-24","16:02:44","2022-09-24 16:02:44","1.67","-3.5652072","39.6553856","4","0.2","714.65","1300000296","14383","0","259","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_12072",5,451512.280561142,4389662.15729263,451512.280561142,4389662.15729263,0.00131928690419866,"NO"
"5","6","2022-09-27T12:03:11.487Z","763.8","","0","2","0","0","27","[1]","0.81","druid","2022-09-24","20:03:00","2022-09-24 20:03:00","0.81","-3.564902","39.6547648","10","0","712.14","1300000296","14416","0","259","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_12072",6,451538.029546657,4389593.09325535,451538.029546657,4389593.09325535,0.00511256707393861,"NO"
"6","7","2022-09-27T12:03:11.488Z","750.78","","326.5","2","0","0","22","[1]","0.79","druid","2022-09-25","00:03:00","2022-09-25 00:03:00","1.11","-3.5649476","39.6548","9","0.3","699.12","1300000296","14400","0","259","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_12072",7,451534.142160322,4389597.02452898,451534.142160322,4389597.02452898,0.000383911851992467,"NO"
"7","8","2022-09-27T12:03:11.489Z","756.48","","0","2","0","0","26","[1]","0.88","druid","2022-09-25","04:03:01","2022-09-25 04:03:01","1.21","-3.5649232","39.6548224","6","0","704.82","1300000296","14401","0","259","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_12072",8,451536.251049078,4389599.49741255,451536.251049078,4389599.49741255,0.000225663796197923,"NO"
"8","9","2022-09-27T12:03:11.49Z","757.7","","0","2","0","0","27","[1]","0.77","druid","2022-09-25","08:03:00","2022-09-25 08:03:00","0.83","-3.565452","39.654784","10","0","706.03","1300000296","14399","0","259","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_12072",9,451490.85912641,4389595.52118897,451490.85912641,4389595.52118897,0.00316428775585392,"NO"
"9","10","2022-09-27T12:03:11.491Z","749.23","","0","2","0","0","39","[1]","0.91","druid","2022-09-25","12:03:18","2022-09-25 12:03:18","1.75","-3.5700296","39.652096","6","0.1","697.57","1300000296","14418","0","259","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_12072",10,451096.258300117,4389299.67794321,451096.258300117,4389299.67794321,0.0342039403545273,"NO"
"10","11","2022-09-27T12:03:11.492Z","764.04","","0","2","0","0","32","[1]","0.98","druid","2022-09-25","16:03:09","2022-09-25 16:03:09","1.88","-3.565204","39.6550368","4","0","712.38","1300000296","14391","0","259","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_12072",11,451512.31137483,4389623.44412985,451512.31137483,4389623.44412985,0.0366304645135775,"NO"
