"","X","Transmitting.time","Altitude..Ellipsoid.","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.Source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"1","2","2023-02-15T15:58:37.494Z","870.53","0","2","0","0","13","[1]","0.74","druid","2023-02-15","01:58:10","2023-02-15 01:58:10","0.82","-5.255568","41.1965088","12","0","818.99","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",2,310861.237418387,4563024.53444733,310861.237418387,4563024.53444733,NA,NA
"2","3","2023-02-15T15:58:37.495Z","877.44","221.6","2","0","0","12","[1]","0.78","druid","2023-02-15","02:58:10","2023-02-15 02:58:10","0.77","-5.2555688","41.1966944","13","0","825.9","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",3,310861.704905497,4563045.14239624,310861.704905497,4563045.14239624,0.00572431287232552,"NO"
"3","4","2023-02-15T15:58:37.496Z","826.35","0","2","0","0","5","[1]","0.82","druid","2023-02-15","03:58:00","2023-02-15 03:58:00","0.91","-5.2556916","41.1966208","10","0","774.81","13000004ab","3590","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",4,310851.194931678,4563037.23813084,310851.194931678,4563037.23813084,0.00366208572709179,"NO"
"4","5","2023-02-15T15:58:37.497Z","820.4","0","2","0","0","14","[1]","0.7","druid","2023-02-15","04:58:10","2023-02-15 04:58:10","0.59","-5.2557076","41.1968224","18","0","768.86","13000004ab","3610","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",5,310850.433870739,4563059.65554777,310850.433870739,4563059.65554777,0.00621166769434268,"NO"
"5","6","2023-02-15T15:58:37.497Z","840.68","156.4","2","0","0","16","[1]","0.69","druid","2023-02-15","05:58:10","2023-02-15 05:58:10","0.7","-5.2557516","41.196752","14","0","789.14","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",6,310846.541262534,4563051.93512955,310846.541262534,4563051.93512955,0.00240106299829331,"NO"
"6","7","2023-02-15T15:58:37.498Z","833.88","113.8","2","0","0","15","[1]","0.75","druid","2023-02-15","06:58:10","2023-02-15 06:58:10","0.81","-5.2558452","41.1968","12","0","782.33","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",7,310838.830267815,4563057.46797201,310838.830267815,4563057.46797201,0.00263555002564332,"NO"
"7","8","2023-02-15T15:58:39.759Z","887.86","331","2","0","0","17","[1]","0.8","druid","2023-02-15","07:58:10","2023-02-15 07:58:10","0.9","-5.2555448","41.1968512","9","0","836.32","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",8,310864.169159624,4563062.4988776,310864.169159624,4563062.4988776,0.00717397798257019,"NO"
"8","9","2023-02-15T15:58:39.76Z","788.14","120.6","2","0","0","16","[1]","0.85","druid","2023-02-15","08:58:10","2023-02-15 08:58:10","0.78","-5.25678","41.1968736","9","0.1","736.6","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",9,310760.65041128,4563067.67375784,310760.65041128,4563067.67375784,0.0287831194721864,"NO"
"9","10","2023-02-15T15:58:39.761Z","921.72","355.8","2","0","0","18","[1]","0.91","druid","2023-02-15","09:58:10","2023-02-15 09:58:10","1.04","-5.256034","41.1977984","8","0.1","870.18","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",10,310825.873854473,4563168.72598635,310825.873854473,4563168.72598635,0.0333999534538016,"NO"
"10","11","2023-02-15T15:58:39.761Z","519.87","322.2","2","0","0","9","[1]","0.79","druid","2023-02-15","10:58:01","2023-02-15 10:58:01","1.28","-5.255052","41.2002688","6","0.3","468.32","13000004ab","3591","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",11,310915.33682053,4563440.86545592,310915.33682053,4563440.86545592,0.0797514751260214,"NO"
"11","12","2023-02-15T15:58:39.762Z","826.67","282.7","2","0","0","17","[1]","0.73","druid","2023-02-15","11:58:10","2023-02-15 11:58:10","0.8","-5.2556036","41.1972576","10","0","775.13","13000004ab","3609","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",12,310860.408782902,4563107.74729327,310860.408782902,4563107.74729327,0.0935225345531615,"NO"
"12","13","2023-02-15T15:58:39.763Z","795.39","277.8","2","0","0","18","[1]","0.79","druid","2023-02-15","12:58:10","2023-02-15 12:58:10","0.81","-5.255742","41.1972288","11","0","743.85","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",13,310848.719736557,4563104.85088573,310848.719736557,4563104.85088573,0.00334422348702025,"NO"
"13","14","2023-02-15T15:58:39.764Z","841.08","129.5","2","0","0","34","[1]","0.81","druid","2023-02-15","13:58:31","2023-02-15 13:58:31","0.9","-5.2558576","41.19728","10","0","789.54","13000004ab","3621","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",14,310839.173119953,4563110.78687533,310839.173119953,4563110.78687533,0.00310370318070062,"NO"
"14","15","2023-02-15T15:58:39.765Z","847.41","0","2","0","0","4","[1]","0.76","druid","2023-02-15","14:58:00","2023-02-15 14:58:00","1.11","-5.2561416","41.1971328","8","0.2","795.87","13000004ab","3569","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",15,310814.933080986,4563095.06198813,310814.933080986,4563095.06198813,0.00809350085724894,"NO"
"15","16","2023-02-15T15:58:39.765Z","834.46","230.9","2","0","0","3","[1]","0.78","druid","2023-02-15","15:58:00","2023-02-15 15:58:00","0.92","-5.2564376","41.196992","9","0.7","782.92","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",16,310789.705064211,4563080.07385373,310789.705064211,4563080.07385373,0.00814897372650575,"NO"
"16","17","2023-02-16T11:59:37.928Z","856.55","0","2","0","0","4","[1]","0.81","druid","2023-02-15","16:57:59","2023-02-15 16:57:59","0.95","-5.2563504","41.1969344","7","0.1","805.01","13000004ab","3599","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",17,310796.851638984,4563073.48904681,310796.851638984,4563073.48904681,0.00269935424850471,"NO"
"17","18","2023-02-16T11:59:37.929Z","825.88","307.5","2","0","0","4","[1]","0.84","druid","2023-02-15","17:57:59","2023-02-15 17:57:59","1.11","-5.2609972","41.197696","7","0.1","774.34","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",18,310409.372461725,4563168.16880265,310409.372461725,4563168.16880265,0.110768922551974,"NO"
"18","19","2023-02-16T11:59:37.929Z","821.52","54","2","0","0","4","[1]","0.9","druid","2023-02-15","18:57:58","2023-02-15 18:57:58","1.06","-5.2607044","41.197824","7","0.8","769.98","13000004ab","3599","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",19,310434.295750254,4563181.74149857,310434.295750254,4563181.74149857,0.00788315707995689,"NO"
"19","20","2023-02-16T11:59:37.93Z","856.63","182.3","2","0","0","15","[1]","0.72","druid","2023-02-15","19:58:10","2023-02-15 19:58:10","0.73","-5.26075","41.1979776","14","0","805.09","13000004ab","3612","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",20,310430.915246494,4563198.8943557,310430.915246494,4563198.8943557,0.00483885981397262,"NO"
"20","21","2023-02-16T11:59:37.931Z","874.67","78.5","2","0","0","17","[1]","0.74","druid","2023-02-15","20:58:10","2023-02-15 20:58:10","0.74","-5.26079","41.1975712","13","0","823.13","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",21,310426.387645474,4563153.86105783,310426.387645474,4563153.86105783,0.0125688213728931,"NO"
"21","22","2023-02-16T11:59:37.932Z","840.29","0","2","0","0","17","[1]","0.78","druid","2023-02-15","21:58:10","2023-02-15 21:58:10","0.78","-5.2609752","41.1976896","13","0.1","788.75","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",22,310411.198870345,4563167.4102663,310411.198870345,4563167.4102663,0.00565228212782661,"NO"
"22","23","2023-02-16T11:59:37.933Z","847.45","0","2","0","0","33","[1]","0.76","druid","2023-02-15","22:58:25","2023-02-15 22:58:25","1.05","-5.261116","41.1978272","10","0","795.91","13000004ab","3615","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",23,310399.788901102,4563182.99435398,310399.788901102,4563182.99435398,0.00534140847622116,"NO"
"23","24","2023-02-16T11:59:37.933Z","837.73","0","2","0","0","24","[1]","0.82","druid","2023-02-15","23:58:16","2023-02-15 23:58:16","0.97","-5.2609992","41.1978656","10","0","786.19","13000004ab","3591","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",24,310409.694424902,4563187.0029881,310409.694424902,4563187.0029881,0.00297491765903078,"NO"
"24","25","2023-02-16T11:59:37.934Z","848.25","0","2","0","0","26","[1]","0.78","druid","2023-02-16","00:58:17","2023-02-16 00:58:17","0.94","-5.260994","41.1977312","9","0","796.71","13000004ab","3601","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",25,310409.742440271,4563172.06990077,310409.742440271,4563172.06990077,0.00414579803673105,"NO"
"25","26","2023-02-16T11:59:37.935Z","821.98","236.5","2","0","0","13","[1]","0.76","druid","2023-02-16","01:58:10","2023-02-16 01:58:10","0.75","-5.26102","41.1976992","10","0.2","770.44","13000004ab","3593","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",26,310407.469727356,4563168.57380442,310407.469727356,4563168.57380442,0.00116023420573989,"NO"
"26","27","2023-02-16T11:59:37.936Z","863.77","0","2","0","0","20","[1]","0.91","druid","2023-02-16","02:58:17","2023-02-16 02:58:17","1.73","-5.2605976","41.1977664","6","0","812.23","13000004ab","3607","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",27,310443.085542808,4563175.11359234,310443.085542808,4563175.11359234,0.0100363794454272,"NO"
"27","28","2023-02-16T11:59:37.936Z","877.28","0","2","0","0","14","[1]","0.82","druid","2023-02-16","03:58:10","2023-02-16 03:58:10","0.78","-5.260982","41.1977504","11","0","825.74","13000004ab","3593","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",28,310410.804176693,4563174.17540965,310410.804176693,4563174.17540965,0.00898580864893596,"NO"
"28","29","2023-02-16T11:59:37.937Z","818.42","0","2","0","0","15","[1]","0.8","druid","2023-02-16","04:58:10","2023-02-16 04:58:10","0.88","-5.2609624","41.1978048","10","0","766.88","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",29,310412.604866481,4563180.1724216,310412.604866481,4563180.1724216,0.00173882817718518,"NO"
"29","30","2023-02-16T11:59:37.938Z","845.46","0","2","0","0","16","[1]","0.86","druid","2023-02-16","05:58:10","2023-02-16 05:58:10","1.12","-5.2609796","41.1977888","10","0.1","793.92","13000004ab","3600","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",30,310411.116306908,4563178.43353215,310411.116306908,4563178.43353215,0.000635658286325418,"NO"
"30","31","2023-02-16T11:59:37.939Z","840.35","0","2","0","0","44","[1]","0.79","druid","2023-02-16","06:58:38","2023-02-16 06:58:38","0.89","-5.260966","41.1977344","11","0","788.81","13000004ab","3628","0","2355","NO_burst_boost","M","BBS","AD","MNORTE","CYL","BBS_14620",31,310412.099715969,4563172.36411903,310412.099715969,4563172.36411903,0.00169428669540567,"NO"
