"","X","Transmitting.time","Altitude..Ellipsoid.","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"1","2","2022-02-24T13:01:34.72Z","513.64","107.9","2","0","0","2","[1]","0.79","druid","2022-02-24","00:00:51","2022-02-24 00:00:51","0.85","-5.437316","38.7763872","9","0.8","462.65","d38d5e7acdb4","1801","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",2,288271.936127843,4294783.83920369,288271.936127843,4294783.83920369,NA,NA
"2","3","2022-02-24T13:01:34.721Z","506.87","0","2","0","0","3","[1]","0.74","druid","2022-02-24","00:30:50","2022-02-24 00:30:50","0.79","-5.4373812","38.7763488","10","0.1","455.88","d38d5e7acdb4","1799","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",3,288266.157885195,4294779.72824699,288266.157885195,4294779.72824699,0.0039396705488458,"NO"
"3","4","2022-02-24T13:01:34.722Z","457.04","198.6","2","0","0","3","[1]","0.89","druid","2022-02-24","01:00:51","2022-02-24 01:00:51","1.25","-5.436954","38.7767104","8","0.1","406.05","d38d5e7acdb4","1801","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",4,288304.343075914,4294818.87239389,288304.343075914,4294818.87239389,0.0303464502181791,"NO"
"4","5","2022-02-24T13:01:34.723Z","474.38","0","2","0","0","3","[1]","0.87","druid","2022-02-24","01:30:50","2022-02-24 01:30:50","1.27","-5.4374548","38.7765056","7","0.1","423.4","d38d5e7acdb4","1799","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",5,288260.227410508,4294797.30173881,288260.227410508,4294797.30173881,0.0272815967852734,"NO"
"5","6","2022-02-24T13:01:34.724Z","466.47","156.9","2","0","0","4","[1]","0.81","druid","2022-02-24","02:00:51","2022-02-24 02:00:51","1.45","-5.438438","38.776688","6","0.2","415.49","d38d5e7acdb4","1801","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",6,288175.346305133,4294819.82380456,288175.346305133,4294819.82380456,0.0487337694962336,"NO"
"6","7","2022-02-24T13:01:34.725Z","445.38","331.9","2","0","0","3","[1]","0.74","druid","2022-02-24","02:30:50","2022-02-24 02:30:50","1.02","-5.4376112","38.776608","8","0.8","394.4","d38d5e7acdb4","1799","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",7,288246.942292168,4294809.02924151,288246.942292168,4294809.02924151,0.0402250917905778,"NO"
"7","8","2022-02-24T13:01:34.726Z","504.29","0","2","0","0","13","[1]","0.81","druid","2022-02-24","03:00:59","2022-02-24 03:00:59","1.13","-5.437498","38.7763776","7","0.1","453.31","d38d5e7acdb4","1809","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",8,288256.095424532,4294783.19524856,288256.095424532,4294783.19524856,0.0151423051831178,"NO"
"8","9","2022-02-24T13:01:34.727Z","485.65","0","2","0","0","12","[1]","0.82","druid","2022-02-24","03:30:58","2022-02-24 03:30:58","1.02","-5.4375448","38.7765536","7","0.1","434.67","d38d5e7acdb4","1799","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",9,288252.550187126,4294802.83765527,288252.550187126,4294802.83765527,0.0110887671159918,"NO"
"9","10","2022-02-24T13:01:34.728Z","545.07","0","2","0","0","13","[1]","0.8","druid","2022-02-24","04:00:59","2022-02-24 04:00:59","1.14","-5.4376268","38.7767648","7","0","494.09","d38d5e7acdb4","1801","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",10,288246.050944338,4294826.46840124,288246.050944338,4294826.46840124,0.0136005599722127,"NO"
"10","11","2022-02-24T13:01:34.729Z","546.73","0","2","0","0","12","[1]","0.84","druid","2022-02-24","04:30:58","2022-02-24 04:30:58","1.08","-5.4375308","38.7767616","7","0.1","495.75","d38d5e7acdb4","1799","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",11,288254.381984285,4294825.8908724,288254.381984285,4294825.8908724,0.00463946324315435,"NO"
"11","12","2022-02-24T13:01:36.537Z","499.15","342.5","2","0","0","25","[1]","0.84","druid","2022-02-24","05:01:10","2022-02-24 05:01:10","0.7","-5.4369996","38.7764064","13","0","448.17","d38d5e7acdb4","1812","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",12,288299.481997759,4294785.23743675,288299.481997759,4294785.23743675,0.0334905179173478,"NO"
"12","13","2022-02-24T13:01:36.538Z","492.3","261.2","2","0","0","3","[1]","0.81","druid","2022-02-24","05:30:54","2022-02-24 05:30:54","0.75","-5.4371284","38.776496","12","0.1","441.31","d38d5e7acdb4","1784","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",13,288288.556840254,4294795.48029712,288288.556840254,4294795.48029712,0.00838981644174786,"NO"
"13","14","2022-02-24T13:01:36.539Z","538.84","26","2","0","0","18","[1]","0.77","druid","2022-02-24","06:01:10","2022-02-24 06:01:10","0.79","-5.437596","38.7765312","13","0.1","487.85","d38d5e7acdb4","1816","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",14,288248.035619735,4294800.47010303,288248.035619735,4294800.47010303,0.0224696138504746,"NO"
"14","15","2022-02-24T13:01:36.54Z","522.75","0","2","0","0","3","[1]","0.76","druid","2022-02-24","06:30:54","2022-02-24 06:30:54","0.78","-5.4379616","38.7761408","13","0.2","471.76","d38d5e7acdb4","1784","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",15,288215.116692406,4294757.98703092,288215.116692406,4294757.98703092,0.0301089422802583,"NO"
"15","16","2022-02-24T13:01:36.54Z","522.44","0","2","0","0","18","[1]","0.67","druid","2022-02-24","07:01:10","2022-02-24 07:01:10","0.7","-5.4377016","38.7763744","15","0","471.45","d38d5e7acdb4","1816","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",16,288238.397030325,4294783.3116867,288238.397030325,4294783.3116867,0.0189319246164838,"NO"
"16","17","2022-02-24T13:01:36.541Z","532.63","126","2","0","0","3","[1]","0.73","druid","2022-02-24","07:30:53","2022-02-24 07:30:53","0.85","-5.4376816","38.7762752","13","0","481.65","d38d5e7acdb4","1783","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",17,288239.841098231,4294772.25528214,288239.841098231,4294772.25528214,0.00625017378310954,"NO"
"17","18","2022-02-24T13:01:36.542Z","528.34","0","2","0","0","19","[1]","0.78","druid","2022-02-24","08:01:10","2022-02-24 08:01:10","0.85","-5.4376492","38.776432","13","0","477.36","d38d5e7acdb4","1817","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",18,288243.120027969,4294789.58325565,288243.120027969,4294789.58325565,0.00970048235373742,"NO"
"18","19","2022-02-24T13:01:36.543Z","536.91","0","2","0","0","3","[1]","0.72","druid","2022-02-24","08:30:53","2022-02-24 08:30:53","0.74","-5.4364928","38.7768224","14","0","485.93","d38d5e7acdb4","1783","0","6534","NO_burst_boost","M","BBS","2y","EXT","EXT","BBS_2022_ex_4",19,288344.743560933,4294830.2352209,288344.743560933,4294830.2352209,0.0613524901880215,"NO"
