"","X","Transmitting.time","Altitude..Ellipsoid.","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"2","3","2022-02-22T00:02:36.218Z","272.37","0","2","0","0","15","[1]","0.86","druid","2022-02-22","00:02:07","2022-02-22 00:02:07","0.9","-7.5660816","37.6268896","8","0","222.41","ec3abf6ab88c","3599","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",3,96978.2610888301,4174235.08581788,96978.2610888301,4174235.08581788,0.00661077379763384,"NO"
"3","4","2022-02-22T11:22:26.145Z","251.37","0","2","0","0","15","[1]","0.92","druid","2022-02-22","01:02:07","2022-02-22 01:02:07","1.11","-7.5657136","37.6265856","6","0","201.41","ec3abf6ab88c","3600","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",4,97009.1142380701,4174199.74659183,97009.1142380701,4174199.74659183,0.0130276165926768,"NO"
"4","5","2022-02-22T11:22:26.146Z","257.43","0","2","0","0","10","[1]","0.77","druid","2022-02-22","02:02:02","2022-02-22 02:02:02","1.5","-7.5656184","37.6267552","6","0","207.47","ec3abf6ab88c","3595","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",5,97018.4396707643,4174218.16827986,97018.4396707643,4174218.16827986,0.00574181683764154,"NO"
"5","6","2022-02-22T11:22:26.147Z","237.21","0","2","0","0","15","[1]","0.84","druid","2022-02-22","03:02:07","2022-02-22 03:02:07","1","-7.5656984","37.626752","8","0","187.25","ec3abf6ab88c","3605","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",6,97011.3573734665,4174218.15740883,97011.3573734665,4174218.15740883,0.00196403373294809,"NO"
"6","7","2022-02-22T11:22:26.148Z","268.28","248.5","2","0","0","6","[1]","0.78","druid","2022-02-22","04:01:57","2022-02-22 04:01:57","0.87","-7.5656344","37.6268032","9","0.3","218.31","ec3abf6ab88c","3590","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",7,97017.2865153299,4174223.56685845,97017.2865153299,4174223.56685845,0.00223503536324656,"NO"
"7","8","2022-02-22T11:22:26.149Z","262.28","0","2","0","0","13","[1]","0.91","druid","2022-02-22","05:02:04","2022-02-22 05:02:04","1.12","-7.5656304","37.626704","7","0","212.31","ec3abf6ab88c","3607","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",8,97017.1027631026,4174212.5349423,97017.1027631026,4174212.5349423,0.00305805054560996,"NO"
"8","9","2022-02-22T11:22:26.15Z","251.59","0","2","0","0","6","[1]","0.77","druid","2022-02-22","06:01:57","2022-02-22 06:01:57","1.01","-7.5660824","37.6271328","8","0.1","201.62","ec3abf6ab88c","3593","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",9,96979.5070958941,4174262.0930337,96979.5070958941,4174262.0930337,0.0173079609997877,"NO"
"9","10","2022-02-22T11:22:26.151Z","199.64","282.5","2","0","0","5","[1]","0.78","druid","2022-02-22","07:02:02","2022-02-22 07:02:02","0.96","-7.5654424","37.6266176","8","0.3","149.68","ec3abf6ab88c","3605","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",10,97033.2377738427,4174202.13208387,97033.2377738427,4174202.13208387,0.0223274375247649,"NO"
"10","11","2022-02-22T11:22:26.152Z","199.98","0","2","0","0","14","[1]","0.76","druid","2022-02-22","08:02:10","2022-02-22 08:02:10","0.79","-7.5653328","37.6264384","12","0","150.01","ec3abf6ab88c","3608","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",11,97041.9468086382,4174181.76271786,97041.9468086382,4174181.76271786,0.00613828389450062,"NO"
"11","12","2022-02-22T11:22:26.153Z","252.8","353.8","2","0","0","15","[1]","0.98","druid","2022-02-22","09:02:10","2022-02-22 09:02:10","0.8","-7.5464904","37.6219776","12","15.4","202.84","ec3abf6ab88c","3600","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",12,98681.9171237887,4173605.50831432,98681.9171237887,4173605.50831432,0.482717824910056,"NO"
"12","13","2022-02-22T11:22:26.154Z","214.04","240.9","2","0","0","15","[1]","0.67","druid","2022-02-22","10:02:10","2022-02-22 10:02:10","0.73","-7.5467992","37.6231232","14","0","164.08","ec3abf6ab88c","3600","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",13,98660.8199209266,4173734.03330345,98660.8199209266,4173734.03330345,0.0361691247802957,"NO"
"13","14","2022-02-22T11:22:26.155Z","231.89","160.6","2","0","0","3","[2]","0.74","druid","2022-02-22","10:41:57","2022-02-22 10:41:57","0.77","-7.5467792","37.62312","13","0.1","181.93","ec3abf6ab88c","2387","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",14,98662.5689901399,4173733.59224358,98662.5689901399,4173733.59224358,0.000755369708700959,"NO"
"14","15","2022-02-22T11:22:26.156Z","233.3","0","2","0","0","16","[2]","0.73","druid","2022-02-22","10:52:10","2022-02-22 10:52:10","0.72","-7.5467728","37.6231104","13","0","183.34","ec3abf6ab88c","613","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",15,98663.0824644324,4173732.49887299,98663.0824644324,4173732.49887299,0.00196732632478869,"NO"
"15","16","2022-02-22T11:22:26.157Z","216.73","22.1","2","0","0","3","[1,2]","0.75","druid","2022-02-22","11:01:57","2022-02-22 11:01:57","0.72","-7.5468112","37.623168","13","0.8","166.77","ec3abf6ab88c","587","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",16,98660.0016210249,4173739.05909718,98660.0016210249,4173739.05909718,0.0123259009932523,"NO"
"16","17","2022-02-22T11:22:26.158Z","233.84","91.6","2","0","0","3","[2]","0.75","druid","2022-02-22","11:11:57","2022-02-22 11:11:57","0.72","-7.5468","37.6231456","13","0.1","183.88","ec3abf6ab88c","600","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",17,98660.870013446,4173736.52390532,98660.870013446,4173736.52390532,0.00445889410172473,"NO"
"17","18","2022-02-22T11:22:26.159Z","225.71","56.1","2","0","0","3","[2]","0.79","druid","2022-02-22","11:13:57","2022-02-22 11:13:57","0.82","-7.546808","37.6231616","10","1.1","175.75","ec3abf6ab88c","120","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",18,98660.2497330784,4173738.33475663,98660.2497330784,4173738.33475663,0.0158193351116812,"NO"
"18","19","2022-02-22T11:22:27.363Z","206.8","0","2","0","0","3","[2]","0.88","druid","2022-02-22","11:15:57","2022-02-22 11:15:57","0.98","-7.5468528","37.6230176","8","0","156.84","ec3abf6ab88c","120","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",19,98655.5169539512,4173722.53787525,98655.5169539512,4173722.53787525,0.136286143737906,"NO"
"19","20","2022-02-22T11:22:27.364Z","214.96","143.1","2","0","0","3","[2]","0.79","druid","2022-02-22","11:17:57","2022-02-22 11:17:57","0.83","-7.5468424","37.6229728","12","0.1","165","ec3abf6ab88c","120","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",20,98656.1939488573,4173717.51894113,98656.1939488573,4173717.51894113,0.0418544429775395,"NO"
"20","21","2022-02-22T11:22:27.365Z","241.04","0","2","0","0","3","[2]","0.87","druid","2022-02-22","11:18:58","2022-02-22 11:18:58","0.88","-7.546748","37.62312","8","0.2","191.08","ec3abf6ab88c","61","0","1732","NO_burst_boost","F","BBS","2y","PORT","ALENTEJ","BBS_2022_pt_3",21,98665.3244470176,4173733.45847495,98665.3244470176,4173733.45847495,0.296280591924613,"NO"
