"","X","Transmitting.time","Altitude..Ellipsoid.","North.Speed","East.Speed","Down.Speed","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.Source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"1","2","2024-02-09T17:01:27.807Z","521.92","0","0","0","147.3","2","-99999.9","-99999.9","2","[1]","0.79","druid","2024-02-08","11:00:05","2024-02-08 11:00:05","1.21","-5.4358496","38.7757216","6","0.4","470.94","1300000713","3567","0","4260","NO_burst_boost","F","BBS","AD","EXT","EXT","BBS_2024_7",2,288397.369935968,4294706.56994036,288397.369935968,4294706.56994036,NA,NA
"2","3","2024-02-09T17:01:27.808Z","536.44","0","0","0","0","2","-99999.9","-99999.9","10","[1]","0.99","druid","2024-02-08","11:30:13","2024-02-08 11:30:13","1.85","-5.4358264","38.7757792","4","0","485.45","1300000713","1808","0","4260","NO_burst_boost","F","BBS","AD","EXT","EXT","BBS_2024_7",3,288399.555902701,4294712.90918621,288399.555902701,4294712.90918621,0.00370677531558186,"NO"
"3","4","2024-02-09T17:01:27.812Z","514.27","0","0","0","243.6","2","-99999.9","-99999.9","35","[1]","0.99","druid","2024-02-08","12:00:37","2024-02-08 12:00:37","1.42","-5.4345112","38.7791968","5","0","463.28","1300000713","1824","0","4260","NO_burst_boost","F","BBS","AD","EXT","EXT","BBS_2024_7",4,288523.922675133,4295089.18058617,288523.922675133,4295089.18058617,0.217146240013209,"NO"
"4","5","2024-02-09T17:01:27.813Z","470.97","0","0","0","0","2","-99999.9","-99999.9","2","[1]","0.96","druid","2024-02-08","12:30:04","2024-02-08 12:30:04","1.42","-5.4343716","38.7793856","5","0","419.98","1300000713","1767","0","4260","NO_burst_boost","F","BBS","AD","EXT","EXT","BBS_2024_7",5,288536.608709698,4295109.81230036,288536.608709698,4295109.81230036,0.0136990331753276,"NO"
"5","6","2024-02-09T17:01:27.814Z","395.34","0","0","0","161.5","2","-99999.9","-99999.9","2","[1]","0.93","druid","2024-02-08","13:00:03","2024-02-08 13:00:03","1.53","-5.4345384","38.779616","5","3","344.35","1300000713","1799","0","4260","NO_burst_boost","F","BBS","AD","EXT","EXT","BBS_2024_7",6,288522.798569361,4295135.76996058,288522.798569361,4295135.76996058,0.0163348459243741,"NO"
"6","7","2024-02-09T17:01:31.321Z","527.39","0","0","0","159.4","2","-99999.9","-99999.9","30","[1]","0.78","druid","2024-02-08","13:30:31","2024-02-08 13:30:31","0.87","-5.4235968","38.7869216","9","0","476.39","1300000713","1828","0","4260","NO_burst_boost","F","BBS","AD","EXT","EXT","BBS_2024_7",7,289494.86533175,4295921.35179528,289494.86533175,4295921.35179528,0.683335719522869,"NO"
"7","8","2024-02-09T17:01:31.322Z","529.38","0","0","0","162.8","2","-99999.9","-99999.9","2","[1]","0.76","druid","2024-02-08","14:00:03","2024-02-08 14:00:03","0.88","-5.423622","38.7868224","9","0.3","478.39","1300000713","1772","0","4260","NO_burst_boost","F","BBS","AD","EXT","EXT","BBS_2024_7",8,289492.384345223,4295910.39976766,289492.384345223,4295910.39976766,0.00633362872245463,"NO"
"8","9","2024-02-09T17:01:31.322Z","551.15","0","0","0","228.7","2","-99999.9","-99999.9","2","[1]","0.89","druid","2024-02-08","14:30:02","2024-02-08 14:30:02","1.14","-5.4236468","38.7865536","7","1.8","500.16","1300000713","1799","0","4260","NO_burst_boost","F","BBS","AD","EXT","EXT","BBS_2024_7",9,289489.439010313,4295880.6231554,289489.439010313,4295880.6231554,0.0166232920340006,"NO"
"9","10","2024-02-09T17:01:31.324Z","584","0","0","0","180.9","2","-99999.9","-99999.9","2","[1]","0.98","druid","2024-02-08","15:00:02","2024-02-08 15:00:02","1.39","-5.4236928","38.7864864","6","0.9","533","1300000713","1800","0","4260","NO_burst_boost","F","BBS","AD","EXT","EXT","BBS_2024_7",10,289485.245317088,4295873.27067154,289485.245317088,4295873.27067154,0.00469983389772911,"NO"
"10","11","2024-02-09T17:01:31.324Z","543.92","0","0","0","0","2","-99999.9","-99999.9","2","[1]","0.92","druid","2024-02-08","15:30:02","2024-02-08 15:30:02","1.27","-5.4251924","38.7871744","7","0.1","492.93","1300000713","1800","0","4260","NO_burst_boost","F","BBS","AD","EXT","EXT","BBS_2024_7",11,289357.003535488,4295953.08587723,289357.003535488,4295953.08587723,0.0838706586862488,"NO"
