"","X","Quality","Day","Month","Year","Hr","Min","Outlier","logger_type","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","altitude","hdop","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"2","3","1","06","03","2011","11","29","0","argos","2011-03-06","11:29:36","2011-03-06 11:29:36","-3.932222222","38.85694444","0.683","0","180617","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",3,419114.179334665,4301314.59668035,419114.179334665,4301314.59668035,0.0142838975176796,"NO"
"3","4","2","06","03","2011","14","52","0","argos","2011-03-06","14:52:24","2011-03-06 14:52:24","-3.919444444","38.86638889","0.667","0","12168","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",4,420233.438884542,4302351.42084741,420233.438884542,4302351.42084741,0.125375572972135,"NO"
"4","5","1","06","03","2011","16","39","0","argos","2011-03-06","16:39:16","2011-03-06 16:39:16","-3.926944444","38.86111111","0.681","0","6412","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",5,419576.816932316,4301772.3166354,419576.816932316,4301772.3166354,0.136520800922732,"NO"
"5","6","3","06","03","2011","18","19","0","argos","2011-03-06","18:19:19","2011-03-06 18:19:19","-3.923888889","38.86055556","0.679","0","6003","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",6,419841.302936658,4301707.97953248,419841.302936658,4301707.97953248,0.0453362188194493,"NO"
"6","7","2","08","03","2011","19","55","0","argos","2011-03-08","19:55:33","2011-03-08 19:55:33","-3.931388889","38.85777778","0.685","0","178574","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",7,419187.429459838,4301406.33585948,419187.429459838,4301406.33585948,0.00403246153879222,"NO"
"7","8","3","08","03","2011","21","43","0","argos","2011-03-08","21:43:38","2011-03-08 21:43:38","-3.924166667","38.86027778","0.680","0","6485","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",8,419816.8898478,4301677.39775759,419816.8898478,4301677.39775759,0.105664960017057,"NO"
"8","9","2","08","03","2011","22","8","0","argos","2011-03-08","22:08:10","2011-03-08 22:08:10","-3.928055556","38.85861111","0.683","0","1472","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",9,419477.593597329,4301495.86704383,419477.593597329,4301495.86704383,0.261239371747373,"NO"
"9","10","3","09","03","2011","2","56","0","argos","2011-03-09","02:56:40","2011-03-09 02:56:40","-3.926111111","38.86083333","0.681","0","17310","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",10,419648.806941552,4301740.75729714,419648.806941552,4301740.75729714,0.0172610691325638,"NO"
"10","11","2","11","03","2011","6","38","0","argos","2011-03-11","06:38:24","2011-03-11 06:38:24","-3.939722222","38.86305556","0.680","0","186104","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",11,418470.396000175,4301999.42762746,418470.396000175,4301999.42762746,0.00648272226277199,"NO"
"11","12","2","11","03","2011","9","13","0","argos","2011-03-11","09:13:42","2011-03-11 09:13:42","-3.943888889","38.86555556","0.682","0","9318","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",12,418111.760105158,4302280.58581549,418111.760105158,4302280.58581549,0.0489009374509724,"NO"
