"","X","Transmitting.time","Altitude..Ellipsoid.","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.Source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"10","13","2022-10-25T11:58:56.242Z","1410.45","324.4","2","0","0","6","[1]","0.97","druid","2022-10-25","01:57:41","2022-10-25 01:57:41","1.15","-1.7808308","41.0029216","5","0.2","1358.64","ec9f6ca5c855","7201","0","501","NO_burst_boost","M","BBS","juv","VEBRO","CLM","BBS_9900b",13,602530.561084979,4539797.14877731,602530.561084979,4539797.14877731,0.0138594660861973,"NO"
"11","14","2022-10-25T11:58:56.243Z","1172.2","129.3","2","0","0","12","[1]","0.96","druid","2022-10-25","03:57:44","2022-10-25 03:57:44","1.25","-1.7801524","41.0024448","4","0.3","1120.39","ec9f6ca5c855","7203","0","501","NO_burst_boost","M","BBS","juv","VEBRO","CLM","BBS_9900b",14,602588.354347256,4539745.01459426,602588.354347256,4539745.01459426,0.0108041885943503,"NO"
"12","15","2022-10-25T11:58:56.244Z","1226.26","37.3","2","0","0","4","[1]","0.92","druid","2022-10-25","05:57:36","2022-10-25 05:57:36","1.95","-1.7804084","41.0015616","5","0.7","1174.46","ec9f6ca5c855","7192","0","501","NO_burst_boost","M","BBS","juv","VEBRO","CLM","BBS_9900b",15,602568.193928635,4539646.66709318,602568.193928635,4539646.66709318,0.0139569854830308,"NO"
"13","16","2022-10-25T11:58:56.245Z","1143.88","325.9","2","0","0","4","[1]","0.95","druid","2022-10-25","07:57:36","2022-10-25 07:57:36","1.99","-1.7807622","41.001696","6","3.6","1092.07","ec9f6ca5c855","7200","0","501","NO_burst_boost","M","BBS","juv","VEBRO","CLM","BBS_9900b",16,602538.230222677,4539661.17170565,602538.230222677,4539661.17170565,0.00462293432012743,"NO"
"14","17","2022-10-25T11:58:56.246Z","1154.8","42.6","2","0","0","13","[1]","0.94","druid","2022-10-25","09:57:43","2022-10-25 09:57:43","1.28","-1.778439","41.0017824","5","0.2","1103","ec9f6ca5c855","7207","0","501","NO_burst_boost","M","BBS","juv","VEBRO","CLM","BBS_9900b",17,602733.481964075,4539673.49407721,602733.481964075,4539673.49407721,0.0271420905256042,"NO"
"15","18","2022-10-25T11:58:56.247Z","1193.56","353","2","0","0","7","[1]","0.79","druid","2022-10-25","11:57:36","2022-10-25 11:57:36","1.3","-1.7744038","41.0034016","6","0.6","1141.75","ec9f6ca5c855","7193","0","501","NO_burst_boost","M","BBS","juv","VEBRO","CLM","BBS_9900b",18,603070.327161629,4539858.00212477,603070.327161629,4539858.00212477,0.0533872089158314,"NO"
"16","19","2022-10-25T13:58:08.214Z","1167.9","5.2","2","0","0","6","[1]","0.83","druid","2022-10-25","12:27:41","2022-10-25 12:27:41","1.24","-1.7745438","41.0039392","6","1.2","1116.09","ec9f6ca5c855","1805","0","501","NO_burst_boost","M","BBS","juv","VEBRO","CLM","BBS_9900b",19,603057.715546028,4539917.51753108,603057.715546028,4539917.51753108,0.0336860277035557,"NO"
"17","20","2022-10-25T13:58:08.215Z","1174.38","344.9","2","0","0","3","[1]","0.89","druid","2022-10-25","12:57:37","2022-10-25 12:57:37","1.19","-1.7745122","41.0038848","6","5.6","1122.57","ec9f6ca5c855","1796","0","501","NO_burst_boost","M","BBS","juv","VEBRO","CLM","BBS_9900b",20,603060.457844381,4539911.51571554,603060.457844381,4539911.51571554,0.0036720286389072,"NO"
"18","21","2022-10-25T13:58:08.216Z","1242.03","311.9","2","0","0","2","[1]","0.86","druid","2022-10-25","13:27:38","2022-10-25 13:27:38","0.9","-1.7745092","41.0035808","10","0.8","1190.22","ec9f6ca5c855","1801","0","501","NO_burst_boost","M","BBS","juv","VEBRO","CLM","BBS_9900b",21,603061.183814109,4539877.77126151,603061.183814109,4539877.77126151,0.0187304452266808,"NO"
"19","22","2022-10-25T13:58:08.216Z","1257.51","0","2","0","0","5","[1]","0.87","druid","2022-10-25","13:57:39","2022-10-25 13:57:39","0.99","-1.7745582","41.0036288","7","0.1","1205.7","ec9f6ca5c855","1801","0","501","NO_burst_boost","M","BBS","juv","VEBRO","CLM","BBS_9900b",22,603056.988141997,4539883.04205463,603056.988141997,4539883.04205463,0.00373853131228196,"NO"
"20","23","2022-10-26T11:58:01.479Z","1278.08","332.6","2","0","0","5","[1]","0.89","druid","2022-10-25","14:27:38","2022-10-25 14:27:38","1.28","-1.774731","41.003536","5","3.1","1226.27","ec9f6ca5c855","1799","0","501","NO_burst_boost","M","BBS","juv","VEBRO","CLM","BBS_9900b",23,603042.600293416,4539872.53608788,603042.600293416,4539872.53608788,0.00989739840104049,"NO"
