"","X","UUID_reused","Transmitting","Satellite","GPS_time_consumption","Data_source","TAG","Gender","Age","GPS_ini","GPS_end","time_range","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"1","2","1300000238","2022-10-14 21:02:37","8","26","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","02:31:39","2022-09-28 02:31:39","0","-6.4312932","37.091392","0.2","-15.63","1300000238","1822","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",2,195012.701874515,4110522.30353957,195012.701874515,4110522.30353957,NA,NA
"2","3","1300000238","2022-10-14 21:02:37","11","35","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","03:01:49","2022-09-28 03:01:49","0","-6.4305908","37.0924","0","49.97","1300000238","1810","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",3,195079.199341496,4110631.92293268,195079.199341496,4110631.92293268,0.0707962613580193,"NO"
"3","4","1300000238","2022-10-14 21:02:37","11","2","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","03:31:14","2022-09-28 03:31:14","0","-6.4306032","37.0926528","0.4","1.66","1300000238","1765","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",4,195079.111264535,4110660.02096423,195079.111264535,4110660.02096423,0.0159106283069283,"NO"
"4","5","1300000238","2022-10-14 21:02:37","7","2","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","04:01:15","2022-09-28 04:01:15","0","-6.430632","37.0927136","0.3","13.4","1300000238","1801","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",5,195076.79458671,4110666.86171236,195076.79458671,4110666.86171236,0.00400798225981077,"NO"
"5","6","1300000238","2022-10-14 21:02:37","6","3","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","04:31:15","2022-09-28 04:31:15","0","-6.4309472","37.09296","0.3","8.84","1300000238","1800","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",6,195049.758483952,4110695.22284461,195049.758483952,4110695.22284461,0.0217562265904586,"NO"
"6","7","1300000238","2022-10-14 21:02:39","8","2","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","05:01:15","2022-09-28 05:01:15","0","-6.4305168","37.0926368","0.1","15.49","1300000238","1800","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",7,195086.729035752,4110657.96739453,195086.729035752,4110657.96739453,0.0291427517374313,"NO"
"7","8","1300000238","2022-10-14 21:02:39","8","4","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","05:31:15","2022-09-28 05:31:15","0","-6.430564","37.0926272","0.5","16.68","1300000238","1800","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",8,195082.493878357,4110657.05361969,195082.493878357,4110657.05361969,0.0024056712014168,"NO"
"8","9","1300000238","2022-10-14 21:02:39","8","3","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","06:01:15","2022-09-28 06:01:15","0","-6.4307484","37.092496","0.1","-12.41","1300000238","1800","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",9,195065.57204717,4110643.08456087,195065.57204717,4110643.08456087,0.0121836314906905,"NO"
"9","10","1300000238","2022-10-14 21:02:39","14","28","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","06:31:40","2022-09-28 06:31:40","0","-6.4306792","37.0923264","0","23.08","1300000238","1825","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",10,195071.044170772,4110624.03826879,195071.044170772,4110624.03826879,0.0108525714011562,"NO"
"10","11","1300000238","2022-10-14 21:02:39","12","3","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","07:01:19","2022-09-28 07:01:19","0","-6.43083","37.09248","0","47.92","1300000238","1779","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",11,195058.252624905,4110641.57105067,195058.252624905,4110641.57105067,0.0121927209274976,"NO"
"11","12","1300000238","2022-10-14 21:02:39","12","23","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","07:31:40","2022-09-28 07:31:40","0","-6.430688","37.0925056","0","-11.21","1300000238","1821","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",12,195070.980851311,4110643.95589426,195070.980851311,4110643.95589426,0.00710741995770392,"NO"
"12","13","1300000238","2022-10-14 21:02:39","11","3","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","08:01:19","2022-09-28 08:01:19","0","-6.426824","37.0926976","0.2","37.75","1300000238","1779","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",13,195415.305910025,4110652.85147041,195415.305910025,4110652.85147041,0.193505588401206,"NO"
"13","14","1300000238","2022-10-14 21:02:39","7","5","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","08:31:20","2022-09-28 08:31:20","0","-6.4265404","37.0929344","0.4","120.32","1300000238","1801","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",14,195441.470341595,4110678.22316853,195441.470341595,4110678.22316853,0.0202252262609221,"NO"
"14","15","1300000238","2022-10-14 21:02:39","14","35","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","09:01:49","2022-09-28 09:01:49","0","-6.4258528","37.0927648","0","-3.68","1300000238","1829","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",15,195501.926122527,4110657.19185542,195501.926122527,4110657.19185542,0.0349778752092727,"NO"
"15","16","1300000238","2022-10-14 21:02:39","11","1","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","09:31:17","2022-09-28 09:31:17","0","-6.4252044","37.0925952","0.9","0.96","1300000238","1768","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",16,195558.89683035,4110636.28680629,195558.89683035,4110636.28680629,0.0343047543457676,"NO"
"16","17","1300000238","2022-10-14 21:02:39","9","3","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","10:01:17","2022-09-28 10:01:17","0","-6.4251012","37.0915712","0.3","25.19","1300000238","1800","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",17,195563.970076479,4110522.30242445,195563.970076479,4110522.30242445,0.0633521524962928,"NO"
"17","18","1300000238","2022-10-14 21:02:39","8","13","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","10:31:28","2022-09-28 10:31:28","0","-6.4338912","37.0537536","0.1","8.8","1300000238","1811","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",18,194630.595071226,4106353.19390124,194630.595071226,4106353.19390124,2.35778839940025,"NO"
"18","19","1300000238","2022-10-14 21:02:39","9","3","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","11:01:16","2022-09-28 11:01:16","0","-6.43396","37.054","3.1","-62.29","1300000238","1788","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",19,194625.463631811,4106380.76294312,194625.463631811,4106380.76294312,0.0156749773575156,"NO"
"19","20","1300000238","2022-10-14 21:02:39","10","2","1","11980","Male","Adult","2022-09-28","2023-04-01","185","druid","2022-09-28","11:31:17","2022-09-28 11:31:17","0","-6.4364768","37.0554848","1","14.38","1300000238","1801","0","1440","NO_burst_boost","M","PTS","AD","SUR","Donana","PTS_11980",20,194407.539327389,4106553.65817614,194407.539327389,4106553.65817614,0.154372571524734,"NO"
