"","X","Transmitting.time","Altitude..Ellipsoid.","North.Speed","East.Speed","Down.Speed","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.Source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"12","13","2023-09-21T16:01:37.935Z","657.06","0","0","0","336.2","2","-99999.9","-99999.9","3","[1]","0.85","druid","2023-09-21","00:00:08","2023-09-21 00:00:08","1.13","-3.250678","39.3404224","7","1","605.48","1300000383","3600","0","78","NO_burst_boost","M","PTS","AD","MSUR","Ciudad Real","PTS_12965b",13,478397.737154576,4354584.68627766,478397.737154576,4354584.68627766,0.0131064894950937,"NO"
"13","14","2023-09-21T16:01:37.936Z","637.25","0","0","0","246.4","2","-99999.9","-99999.9","3","[1]","0.86","druid","2023-09-21","01:00:07","2023-09-21 01:00:07","1.01","-3.250863","39.3402048","8","0.3","585.67","1300000383","3599","0","78","NO_burst_boost","M","PTS","AD","MSUR","Ciudad Real","PTS_12965b",14,478381.727668739,4354560.58174493,478381.727668739,4354560.58174493,0.00803796995700586,"NO"
"14","15","2023-09-21T16:01:37.936Z","687.26","0","0","0","55.4","2","-99999.9","-99999.9","3","[1]","0.93","druid","2023-09-21","02:00:06","2023-09-21 02:00:06","1.19","-3.2507732","39.340336","6","2.3","635.68","1300000383","3599","0","78","NO_burst_boost","M","PTS","AD","MSUR","Ciudad Real","PTS_12965b",15,478389.506647266,4354575.12055509,478389.506647266,4354575.12055509,0.00458029788387477,"NO"
"15","16","2023-09-21T16:01:37.937Z","754.07","0","0","0","138.3","2","-99999.9","-99999.9","3","[1]","0.85","druid","2023-09-21","03:00:06","2023-09-21 03:00:06","0.96","-3.2504318","39.3403008","7","0.5","702.49","1300000383","3600","0","78","NO_burst_boost","M","PTS","AD","MSUR","Ciudad Real","PTS_12965b",16,478418.916159173,4354571.13256312,478418.916159173,4354571.13256312,0.00824178569735941,"NO"
"16","17","2023-09-21T16:01:37.938Z","832.37","0","0","0","0","2","-99999.9","-99999.9","6","[1]","0.91","druid","2023-09-21","04:00:08","2023-09-21 04:00:08","1.06","-3.250164","39.3409248","8","0.1","780.79","1300000383","3602","0","78","NO_burst_boost","M","PTS","AD","MSUR","Ciudad Real","PTS_12965b",17,478442.185660775,4354640.3187941,478442.185660775,4354640.3187941,0.0202593809431135,"NO"
"17","18","2023-09-21T16:01:37.938Z","488.67","0","0","0","0","2","-99999.9","-99999.9","14","[1]","0.83","druid","2023-09-21","05:00:17","2023-09-21 05:00:17","1.11","-3.2498918","39.340528","7","0.1","437.09","1300000383","3609","0","78","NO_burst_boost","M","PTS","AD","MSUR","Ciudad Real","PTS_12965b",18,478465.520697382,4354596.21791575,478465.520697382,4354596.21791575,0.0138210531001954,"NO"
"18","19","2023-09-21T16:01:37.939Z","622.45","0","0","0","0","2","-99999.9","-99999.9","29","[1]","0.79","druid","2023-09-21","06:00:31","2023-09-21 06:00:31","1.13","-3.2472286","39.3400192","7","0","570.87","1300000383","3614","0","78","NO_burst_boost","M","PTS","AD","MSUR","Ciudad Real","PTS_12965b",19,478694.868357254,4354539.12126338,478694.868357254,4354539.12126338,0.0653798061847831,"NO"
"19","20","2023-09-21T16:01:37.94Z","680.28","0","0","0","89.6","2","-99999.9","-99999.9","2","[1]","0.84","druid","2023-09-21","07:00:04","2023-09-21 07:00:04","1.15","-3.2479314","39.3395008","7","1.1","628.7","1300000383","3573","0","78","NO_burst_boost","M","PTS","AD","MSUR","Ciudad Real","PTS_12965b",20,478634.146089707,4354481.75628814,478634.146089707,4354481.75628814,0.023372700043389,"NO"
"20","21","2023-09-21T16:01:40.369Z","743.51","0","0","0","330.2","2","-99999.9","-99999.9","9","[1]","0.92","druid","2023-09-21","08:00:16","2023-09-21 08:00:16","1.09","-3.2483044","39.3395968","8","0.2","691.93","1300000383","3612","0","78","NO_burst_boost","M","PTS","AD","MSUR","Ciudad Real","PTS_12965b",21,478602.0314935,4354492.49839403,478602.0314935,4354492.49839403,0.0093726962694908,"NO"
"21","22","2023-09-21T16:01:40.37Z","686.21","0","0","0","0","2","-99999.9","-99999.9","23","[1]","0.86","druid","2023-09-21","09:00:30","2023-09-21 09:00:30","0.99","-3.2515946","39.345712","8","0","634.63","1300000383","3614","0","78","NO_burst_boost","M","PTS","AD","MSUR","Ciudad Real","PTS_12965b",22,478320.382929435,4355171.93413659,478320.382929435,4355171.93413659,0.203457549865295,"NO"
