"","X","Transmitting.time","Geoid.height","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"2","3","2022-02-25T07:58:17.683Z","531.4","72.1","2","0","0","3","1","0.84","druid","2022-02-25","00:57:39","2022-02-25 00:57:39","0.96","-5.3153368","38.8307488","9","3.3","480.36","d3a5779692a6","3578","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",3,299022.347982751,4300541.83930014,299022.347982751,4300541.83930014,0.00319297188259728,"NO"
"3","4","2022-02-25T07:58:17.684Z","521.88","224.4","2","0","0","3","1","0.76","druid","2022-02-25","01:57:38","2022-02-25 01:57:38","0.91","-5.3153588","38.8307968","9","0.3","470.84","d3a5779692a6","3599","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",4,299020.57315906,4300547.21511533,299020.57315906,4300547.21511533,0.00157256052758815,"NO"
"4","5","2022-02-25T07:58:17.685Z","494.82","319.5","2","0","0","17","1","0.8","druid","2022-02-25","02:57:53","2022-02-25 02:57:53","0.8","-5.31541","38.830848","10","0","443.78","d3a5779692a6","3615","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",5,299016.272407146,4300553.01035825,299016.272407146,4300553.01035825,0.00199577931751747,"NO"
"5","6","2022-02-25T07:58:17.686Z","517.17","0","2","0","0","26","1","0.81","druid","2022-02-25","03:58:01","2022-02-25 03:58:01","0.98","-5.3151936","38.830848","8","0","466.13","d3a5779692a6","3608","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",6,299035.05870699,4300552.5340938,299035.05870699,4300552.5340938,0.00520707562445392,"NO"
"6","7","2022-02-25T07:58:17.687Z","531.25","340.3","2","0","0","3","1","0.97","druid","2022-02-25","04:57:37","2022-02-25 04:57:37","1.44","-5.315334","38.8308224","6","0.3","480.22","d3a5779692a6","3576","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",7,299022.79815133,4300550.00181077,299022.79815133,4300550.00181077,0.00349995313066882,"NO"
"7","8","2022-02-25T07:58:17.688Z","429.65","0","2","0","0","3","1","0.83","druid","2022-02-25","05:57:37","2022-02-25 05:57:37","1.11","-5.3153828","38.8309696","7","0.2","378.62","d3a5779692a6","3600","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",8,299018.975877177,4300566.44656156,299018.975877177,4300566.44656156,0.00468845211678999,"NO"
"8","9","2022-02-25T07:58:17.689Z","514.14","131.7","2","0","0","27","1","0.74","druid","2022-02-25","06:58:01","2022-02-25 06:58:01","0.84","-5.3151024","38.830784","10","0","463.11","d3a5779692a6","3624","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",9,299042.795976032,4300545.23019563,299042.795976032,4300545.23019563,0.00879965967417201,"NO"
"9","10","2022-02-25T07:58:18.968Z","531.44","49.1","2","0","0","3","1","0.82","druid","2022-02-25","07:57:35","2022-02-25 07:57:35","0.97","-5.3151372","38.830848","9","1.2","480.41","d3a5779692a6","3574","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",10,299039.954951395,4300552.40997305,299039.954951395,4300552.40997305,0.00215984315874728,"NO"
"10","11","2022-02-25T12:58:08.855Z","525.71","328.9","2","0","0","3","1","0.85","druid","2022-02-25","08:57:35","2022-02-25 08:57:35","0.94","-5.315134","38.8308192","8","0.3","474.68","d3a5779692a6","3600","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",11,299040.151723314,4300549.2064936,299040.151723314,4300549.2064936,0.000891284937498703,"NO"
"11","12","2022-02-25T12:58:08.856Z","514.55","0","2","0","0","29","1","0.82","druid","2022-02-25","09:58:01","2022-02-25 09:58:01","0.91","-5.3151012","38.8308416","9","0","463.52","d3a5779692a6","3626","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",12,299043.062207526,4300551.62042924,299043.062207526,4300551.62042924,0.00104253380359365,"NO"
"12","13","2022-02-25T12:58:08.857Z","516.94","173.8","2","0","0","2","1","0.79","druid","2022-02-25","10:57:33","2022-02-25 10:57:33","0.88","-5.3151116","38.8309088","9","0.4","465.91","d3a5779692a6","3572","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",13,299042.348420303,4300559.10166972,299042.348420303,4300559.10166972,0.00210333463559547,"NO"
"13","14","2022-02-25T12:58:08.858Z","515.42","264.9","2","0","0","3","2","0.73","druid","2022-02-25","11:17:34","2022-02-25 11:17:34","0.93","-5.3151644","38.8309248","9","0.1","464.39","d3a5779692a6","1201","0","7123","NO_burst_boost","M","PTS","AD","EXT","La Serena","PTS_2022_ex_4",14,299037.809722948,4300560.99366503,299037.809722948,4300560.99366503,0.00409089630667317,"NO"
