"","X","Transmitting.time","Altitude..Ellipsoid.","Course","Positioning.mode","HorAccuracy","VerAccuracy","GPS.time.consumption","Data.Source","VDOP","logger_type","date","time_gmt0","timestamp_gmt0","hdop","X_4326","Y_4326","sat_count","speed","altitude","device_id","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"682","683","2023-03-27T12:03:50.078Z","868.84","15.1","2","0","0","3","[1]","0.8","druid","2023-03-24","00:02:16","2023-03-24 00:02:16","0.89","-5.338582","41.3550176","9","0.7","817.28","e4c37841b684","1801","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",683,304373.781165093,4580807.21312952,304373.781165093,4580807.21312952,0.0283147873786571,"NO"
"683","684","2023-03-27T12:03:50.079Z","834.41","0","2","0","0","6","[1]","0.8","druid","2023-03-24","00:32:18","2023-03-24 00:32:18","0.98","-5.3383832","41.3546688","8","0","782.86","e4c37841b684","1802","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",684,304389.367425235,4580768.03773718,304389.367425235,4580768.03773718,0.0233844161392209,"NO"
"684","685","2023-03-27T12:03:50.08Z","874.89","10.2","2","0","0","3","[1]","0.78","druid","2023-03-24","01:02:14","2023-03-24 01:02:14","0.97","-5.338036","41.3544512","8","1.9","823.33","e4c37841b684","1796","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",685,304417.761755835,4580743.09436971,304417.761755835,4580743.09436971,0.0210318900007448,"NO"
"685","686","2023-03-27T12:03:50.081Z","847.71","0","2","0","0","5","[1]","0.76","druid","2023-03-24","01:32:17","2023-03-24 01:32:17","0.9","-5.3385256","41.3546272","10","0.1","796.16","e4c37841b684","1803","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",686,304377.329892637,4580763.74038983,304377.329892637,4580763.74038983,0.0251652819062253,"NO"
"686","687","2023-03-27T12:03:50.082Z","883.06","133","2","0","0","20","[1]","0.83","druid","2023-03-24","02:02:31","2023-03-24 02:02:31","0.94","-5.3383108","41.3545344","9","0","831.5","e4c37841b684","1814","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",687,304395.021671426,4580752.95212682,304395.021671426,4580752.95212682,0.0114168721197331,"NO"
"687","688","2023-03-27T12:03:50.083Z","886.45","0","2","0","0","3","[1]","0.85","druid","2023-03-24","02:32:13","2023-03-24 02:32:13","0.94","-5.3384756","41.3546976","8","0","834.89","e4c37841b684","1782","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",688,304381.723697666,4580771.44391509,304381.723697666,4580771.44391509,0.0127744216978735,"NO"
"688","689","2023-03-27T12:03:50.084Z","895.51","0","2","0","0","3","[1]","0.78","druid","2023-03-24","03:02:14","2023-03-24 03:02:14","0.88","-5.3383752","41.3546784","9","0.1","843.96","e4c37841b684","1801","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",689,304390.06544748,4580769.08555115,304390.06544748,4580769.08555115,0.00481060928076152,"NO"
"689","690","2023-03-27T12:03:50.084Z","872.71","161.5","2","0","0","29","[1]","0.74","druid","2023-03-24","03:32:40","2023-03-24 03:32:40","0.75","-5.3383384","41.354496","13","0","821.16","e4c37841b684","1826","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",690,304392.59767533,4580748.75093811,304392.59767533,4580748.75093811,0.0112160224847361,"NO"
"690","691","2023-03-27T12:03:50.085Z","888.56","0","2","0","0","3","[1]","0.72","druid","2023-03-24","04:02:12","2023-03-24 04:02:12","0.76","-5.3383832","41.354528","12","0","837","e4c37841b684","1772","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",691,304388.945643671,4580752.40496091,304388.945643671,4580752.40496091,0.00291379630119482,"NO"
"691","692","2023-03-27T12:03:50.086Z","890.12","72.3","2","0","0","20","[1]","0.88","druid","2023-03-24","04:32:31","2023-03-24 04:32:31","1.14","-5.338432","41.3544192","8","0.2","838.57","e4c37841b684","1819","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",692,304384.537193482,4580740.43523836,304384.537193482,4580740.43523836,0.00700864378640087,"NO"
"692","693","2023-03-27T12:03:50.087Z","862.47","316.6","2","0","0","3","[1]","0.88","druid","2023-03-24","05:02:13","2023-03-24 05:02:13","1.07","-5.3383464","41.354528","8","1.8","810.91","e4c37841b684","1782","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",693,304392.024266862,4580752.3218986,304392.024266862,4580752.3218986,0.00787890886974297,"NO"
"693","694","2023-03-27T12:03:50.087Z","859.83","0","2","0","0","2","[1]","0.79","druid","2023-03-24","05:32:12","2023-03-24 05:32:12","0.96","-5.338318","41.3545216","8","0.1","808.28","e4c37841b684","1799","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",694,304394.380989514,4580751.54721633,304394.380989514,4580751.54721633,0.00137821165516561,"NO"
"694","695","2023-03-27T12:03:50.088Z","863.01","106.7","2","0","0","3","[1]","0.76","druid","2023-03-24","06:02:13","2023-03-24 06:02:13","0.89","-5.3382888","41.3545088","8","0.2","811.45","e4c37841b684","1801","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",695,304396.785468151,4580750.06014848,304396.785468151,4580750.06014848,0.00156890658322325,"NO"
"695","696","2023-03-27T12:03:50.089Z","869.78","252.8","2","0","0","3","[1]","0.78","druid","2023-03-24","06:32:12","2023-03-24 06:32:12","0.89","-5.3382576","41.3545024","8","0.5","818.22","e4c37841b684","1799","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",696,304399.376435128,4580749.27914814,304399.376435128,4580749.27914814,0.00150339855902146,"NO"
"696","697","2023-03-27T12:03:50.09Z","862.76","48","2","0","0","21","[1]","0.79","druid","2023-03-24","07:02:31","2023-03-24 07:02:31","0.82","-5.3383816","41.3544992","10","0","811.2","e4c37841b684","1819","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",697,304388.993223557,4580749.20373618,304388.993223557,4580749.20373618,0.00570521176954885,"NO"
"697","698","2023-03-27T12:03:50.09Z","861.92","26.6","2","0","0","1","[1]","0.85","druid","2023-03-24","07:32:11","2023-03-24 07:32:11","0.9","-5.33839","41.3545408","9","0.6","810.36","e4c37841b684","1780","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",698,304388.415111487,4580753.84147099,304388.415111487,4580753.84147099,0.00262415939978903,"NO"
"698","699","2023-03-27T12:03:52.373Z","868.36","0","2","0","0","3","[1]","0.81","druid","2023-03-24","08:02:11","2023-03-24 08:02:11","0.88","-5.3383932","41.3545536","10","0","816.8","e4c37841b684","1800","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",699,304388.185749078,4580755.26985535,304388.185749078,4580755.26985535,0.00080326599942727,"NO"
"699","700","2023-03-27T12:03:52.374Z","868.23","0","2","0","0","3","[1]","0.76","druid","2023-03-24","08:32:12","2023-03-24 08:32:12","1.03","-5.3384024","41.3545984","9","0.1","816.68","e4c37841b684","1801","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",700,304387.550297848,4580760.26468639,304387.550297848,4580760.26468639,0.00279416781797343,"NO"
"700","701","2023-03-27T12:03:52.375Z","874.95","303.5","2","0","0","3","[1]","0.78","druid","2023-03-24","09:02:11","2023-03-24 09:02:11","0.93","-5.3384832","41.354688","8","1.1","823.4","e4c37841b684","1799","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",701,304381.059137578,4580770.39519899,304381.059137578,4580770.39519899,0.00668429260490141,"NO"
"701","702","2023-03-27T12:03:52.376Z","864.38","0","2","0","0","22","[1]","0.79","druid","2023-03-24","09:32:31","2023-03-24 09:32:31","0.92","-5.3383432","41.3545728","9","0","812.82","e4c37841b684","1820","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",702,304392.426174024,4580757.28874097,304392.426174024,4580757.28874097,0.00952719803129054,"NO"
"702","703","2023-03-27T12:03:52.377Z","896.52","0","2","0","0","3","[1]","0.8","druid","2023-03-24","10:02:10","2023-03-24 10:02:10","0.9","-5.3383536","41.3547264","9","0","844.97","e4c37841b684","1779","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",703,304392.016248918,4580774.36615278,304392.016248918,4580774.36615278,0.0095968151707382,"NO"
"703","704","2023-03-27T12:03:52.377Z","894.7","0","2","0","0","2","[1]","0.89","druid","2023-03-24","10:32:09","2023-03-24 10:32:09","1.02","-5.338394","41.3546976","8","0.1","843.14","e4c37841b684","1799","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",704,304388.55019225,4580771.2597278,304388.55019225,4580771.2597278,0.00258577692113612,"NO"
"704","705","2023-03-27T12:03:52.378Z","882.17","345.1","2","0","0","3","[1]","0.78","druid","2023-03-24","11:02:16","2023-03-24 11:02:16","0.92","-5.3384152","41.3546944","9","0.1","830.61","e4c37841b684","1807","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",705,304386.767056097,4580770.95228938,304386.767056097,4580770.95228938,0.00100079948713305,"NO"
"705","706","2023-03-27T12:03:52.379Z","896.22","0","2","0","0","3","[1]","0.78","druid","2023-03-24","11:32:16","2023-03-24 11:32:16","0.9","-5.3384184","41.3547072","9","0.1","844.66","e4c37841b684","1800","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",706,304386.537694849,4580772.38067386,304386.537694849,4580772.38067386,0.000803265962545391,"NO"
"706","707","2023-03-27T12:03:52.38Z","1073.83","0","2","0","0","6","[1]","0.98","druid","2023-03-24","12:02:19","2023-03-24 12:02:19","1.68","-5.337832","41.353408","5","0.2","1022.28","e4c37841b684","1803","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",707,304431.703817388,4580626.80935724,304431.703817388,4580626.80935724,0.084488440957822,"NO"
"707","708","2023-03-27T12:03:52.38Z","1066.72","312.3","2","0","0","20","[1]","0.92","druid","2023-03-24","12:32:32","2023-03-24 12:32:32","1.27","-5.3376924","41.354496","6","0.3","1015.16","e4c37841b684","1813","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",708,304446.640922443,4580747.29305185,304446.640922443,4580747.29305185,0.0669272801728716,"NO"
"708","709","2023-03-27T12:03:52.381Z","872.8","307.2","2","0","0","28","[1]","0.76","druid","2023-03-24","13:02:40","2023-03-24 13:02:40","0.79","-5.33836","41.3547072","12","0.3","821.24","e4c37841b684","1808","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",709,304391.423322586,4580772.24885611,304391.423322586,4580772.24885611,0.0334965048099813,"NO"
"709","710","2023-03-27T12:03:52.382Z","857.21","334.8","2","0","0","3","[1]","0.81","druid","2023-03-24","13:32:15","2023-03-24 13:32:15","0.79","-5.3386048","41.354576","12","0.5","805.66","e4c37841b684","1775","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",710,304370.550780396,4580758.23452374,304370.550780396,4580758.23452374,0.0141559085387653,"NO"
"710","711","2023-03-27T12:03:52.383Z","840.58","0","2","0","0","28","[1]","0.85","druid","2023-03-24","14:02:39","2023-03-24 14:02:39","1.29","-5.3382396","41.35456","8","0.1","789.03","e4c37841b684","1824","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",711,304401.054820164,4580755.63374837,304401.054820164,4580755.63374837,0.0167751836182188,"NO"
"711","712","2023-03-27T12:03:52.383Z","870.71","0","2","0","0","3","[1]","0.77","druid","2023-03-24","14:32:14","2023-03-24 14:32:14","0.96","-5.3381456","41.3544512","9","0","819.15","e4c37841b684","1775","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",712,304408.592802285,4580743.34172181,304408.592802285,4580743.34172181,0.00811895333584987,"NO"
"712","713","2023-03-27T12:03:52.384Z","876.95","0","2","0","0","28","[1]","0.69","druid","2023-03-24","15:02:40","2023-03-24 15:02:40","0.78","-5.3383588","41.3545536","12","0","825.39","e4c37841b684","1826","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",713,304391.063591369,4580755.19220977,304391.063591369,4580755.19220977,0.0115813327708136,"NO"
"713","714","2023-03-27T12:03:52.385Z","885.21","0","2","0","0","6","[1]","0.7","druid","2023-03-24","15:32:17","2023-03-24 15:32:17","0.85","-5.3383236","41.3544576","11","0.1","833.65","e4c37841b684","1777","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",714,304393.720789749,4580744.45404876,304393.720789749,4580744.45404876,0.00622162172861279,"NO"
"714","715","2023-03-27T12:03:55.36Z","865.82","0","2","0","0","21","[1]","0.9","druid","2023-03-24","16:02:31","2023-03-24 16:02:31","1.35","-5.3384672","41.3545376","7","0","814.26","e4c37841b684","1814","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",715,304381.947110397,4580753.66043566,304381.947110397,4580753.66043566,0.00823460327000313,"NO"
"715","716","2023-03-27T12:03:55.36Z","862.09","0","2","0","0","3","[1]","0.89","druid","2023-03-24","16:32:13","2023-03-24 16:32:13","1.16","-5.338472","41.3545728","8","0.1","810.53","e4c37841b684","1782","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",716,304381.651000215,4580757.57946444,304381.651000215,4580757.57946444,0.00220426217589773,"NO"
"716","717","2023-03-27T12:03:55.361Z","877.32","0","2","0","0","3","[1]","0.88","druid","2023-03-24","17:02:13","2023-03-24 17:02:13","1.14","-5.3386212","41.3545376","8","0","825.76","e4c37841b684","1800","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",717,304369.063743293,4580754.00806007,304369.063743293,4580754.00806007,0.00726491460354938,"NO"
"717","718","2023-03-27T12:03:55.362Z","850.56","0","2","0","0","4","[1]","0.89","druid","2023-03-24","17:32:14","2023-03-24 17:32:14","1.28","-5.337068","41.354912","7","0.2","799","e4c37841b684","1801","0","1077","NO_burst_boost","M","PTS","AD","MNORTE","Salamanca","PTS_9881",718,304500.122621333,4580792.07203885,304500.122621333,4580792.07203885,0.0757350305603273,"NO"
