"","X","id_datoGPS","id_emisor","Especie","Fecha_D.M.Y","Hora_H.M.S","Fecha_hora","Lat","Lon","KM.H","T_GPS","Bateria","Bat_2","temperatura","logger_type","year","month","day","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","device_id","speed_km_h","hdop","altitude","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"1","2","1180","CIP03","PTEALC","1/10/16","07:01:00","1-10-16 7:01","41,524567","0,66785","0,2","6","4,05","","99","pica","2016","10","01","2016-10-01","07:01:00","2016-10-01 07:01:00","0.66785","41.524567","PTS_CIP03","0,2","0","0","3600","0","4593","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP03",2,806038.821746436,4603490.3481872,806038.821746436,4603490.3481872,NA,NA
"2","3","1181","CIP03","PTEALC","1/10/16","08:02:00","1-10-16 8:02","41,524533","0,667817","0,3","14","4,05","","99","pica","2016","10","01","2016-10-01","08:02:00","2016-10-01 08:02:00","0.667817","41.524533","PTS_CIP03","0,3","0","0","3660","0","4593","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP03",3,806036.228278643,4603486.45554075,806036.228278643,4603486.45554075,0.00127764952623974,"NO"
"3","4","1182","CIP03","PTEALC","1/10/16","09:02:00","1-10-16 9:02","41,524783","0,6683","0","13","4,05","","99","pica","2016","10","01","2016-10-01","09:02:00","2016-10-01 09:02:00","0.6683","41.524783","PTS_CIP03","0","0","0","3600","0","4593","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP03",4,806075.355719396,4603515.93045405,806075.355719396,4603515.93045405,0.0136037239227203,"NO"
"4","5","1183","CIP03","PTEALC","1/10/16","10:02:00","1-10-16 10:02","41,524017","0,668267","0,2","9","4,13","","99","pica","2016","10","01","2016-10-01","10:02:00","2016-10-01 10:02:00","0.668267","41.524017","PTS_CIP03","0,2","0","0","3600","0","4593","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP03",5,806076.21712999,4603430.75106695,806076.21712999,4603430.75106695,0.0236555797472884,"NO"
"5","6","1184","CIP03","PTEALC","1/10/16","11:06:00","1-10-16 11:06","41,524517","0,668367","0,2","4","4,04","","99","pica","2016","10","01","2016-10-01","11:06:00","2016-10-01 11:06:00","0.668367","41.524517","PTS_CIP03","0,2","0","0","3840","0","4593","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP03",6,806082.202484145,4603486.62948041,806082.202484145,4603486.62948041,0.0146311003668755,"NO"
"6","7","1185","CIP03","PTEALC","1/10/16","12:06:00","1-10-16 12:06","41,524433","0,668683","0,4","6","4,05","","99","pica","2016","10","01","2016-10-01","12:06:00","2016-10-01 12:06:00","0.668683","41.524433","PTS_CIP03","0,4","0","0","3600","0","4593","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP03",7,806108.969878336,4603478.42239261,806108.969878336,4603478.42239261,0.00777487242974494,"NO"
"7","8","1186","CIP03","PTEALC","1/10/16","13:06:00","1-10-16 13:06","41,524433","0,669367","0","7","4,09","","99","pica","2016","10","01","2016-10-01","13:06:00","2016-10-01 13:06:00","0.669367","41.524433","PTS_CIP03","0","0","0","3600","0","4593","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP03",8,806166.051250541,4603480.84897053,806166.051250541,4603480.84897053,0.0158658502842625,"NO"
"8","9","1187","CIP03","PTEALC","1/10/16","14:06:00","1-10-16 14:06","41,524433","0,669117","1,3","4","4,11","","99","pica","2016","10","01","2016-10-01","14:06:00","2016-10-01 14:06:00","0.669117","41.524433","PTS_CIP03","1,3","0","0","3600","0","4593","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP03",9,806145.188175291,4603479.96201077,806145.188175291,4603479.96201077,0.00579892267848139,"NO"
"9","10","1188","CIP03","PTEALC","1/10/16","15:07:00","1-10-16 15:07","41,524117","0,668617","1,6","2","4,11","","99","pica","2016","10","01","2016-10-01","15:07:00","2016-10-01 15:07:00","0.668617","41.524117","PTS_CIP03","1,6","0","0","3660","0","4593","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP03",10,806104.953603997,4603443.09728093,806104.953603997,4603443.09728093,0.0149056236318037,"NO"
"10","11","1189","CIP03","PTEALC","1/10/16","16:11:00","1-10-16 16:11","41,525683","0,671183","1,1","2","4,02","","99","pica","2016","10","01","2016-10-01","16:11:00","2016-10-01 16:11:00","0.671183","41.525683","PTS_CIP03","1,1","0","0","3840","0","4593","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_CIP03",11,806311.69619264,4603626.10303008,806311.69619264,4603626.10303008,0.0718834501571499,"NO"
