"","X","id_emisor","Especie","Fecha_D.M.Y","Hora_H.M.S","Fecha_hora","Lat","Lon","KM.H","T_GPS","Bateria","Bat_2","temperatura","logger_type","year","month","day","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","device_id","speed_km_h","hdop","altitude","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"4","5","GUE03","PTEALC","6/3/19","05:01:00","6-3-19 5:01","41,54745","0,66985","0","33","4,21","","0","pica","2019","03","06","2019-03-06","05:01:00","2019-03-06 05:01:00","0.66985","41.54745","PTS_GUE03","0","0","0","29400","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",5,806097.652563844,4606038.54526056,806097.652563844,4606038.54526056,0.0533701352781874,"NO"
"5","6","GUE03","PTEALC","6/3/19","06:01:00","6-3-19 6:01","41,54745","0,669867","0,9","5","4,22","","0","pica","2019","03","06","2019-03-06","06:01:00","2019-03-06 06:01:00","0.669867","41.54745","PTS_GUE03","0,9","0","0","3600","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",6,806099.070747877,4606038.60558986,806099.070747877,4606038.60558986,0.000394186795917053,"NO"
"6","7","GUE03","PTEALC","6/3/19","07:01:00","6-3-19 7:01","41,547433","0,66985","0,6","6","4,21","","0","pica","2019","03","06","2019-03-06","07:01:00","2019-03-06 07:01:00","0.66985","41.547433","PTS_GUE03","0,6","0","0","3600","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",7,806097.73287081,4606036.6574492,806097.73287081,4606036.6574492,0.000656288757107455,"NO"
"7","8","GUE03","PTEALC","6/3/19","08:02:00","6-3-19 8:02","41,547583","0,669717","0,3","9","4,21","","0","pica","2019","03","06","2019-03-06","08:02:00","2019-03-06 08:02:00","0.669717","41.547583","PTS_GUE03","0,3","0","0","3660","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",8,806085.929097467,4606052.84262978,806085.929097467,4606052.84262978,0.00547178433898426,"NO"
"8","9","GUE03","PTEALC","6/3/19","09:02:00","6-3-19 9:02","41,543217","0,662017","0","30","4,19","","0","pica","2019","03","06","2019-03-06","09:02:00","2019-03-06 09:02:00","0.662017","41.543217","PTS_GUE03","0","0","0","3600","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",9,805464.156542586,4605540.71304228,805464.156542586,4605540.71304228,0.223696065101536,"NO"
"9","10","GUE03","PTEALC","6/3/19","10:03:00","6-3-19 10:03","41,543667","0,66225","0,1","7","4,21","","0","pica","2019","03","06","2019-03-06","10:03:00","2019-03-06 10:03:00","0.66225","41.543667","PTS_GUE03","0,1","0","0","3660","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",10,805481.474071485,4605591.50955326,805481.474071485,4605591.50955326,0.0146591997364596,"NO"
"10","11","GUE03","PTEALC","6/3/19","11:03:00","6-3-19 11:03","41,54435","0,665917","0,9","5","4,22","","0","pica","2019","03","06","2019-03-06","11:03:00","2019-03-06 11:03:00","0.665917","41.54435","PTS_GUE03","0,9","0","0","3600","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",11,805784.179623554,4605680.3477172,805784.179623554,4605680.3477172,0.0876069025848904,"NO"
"11","12","GUE03","PTEALC","6/3/19","12:03:00","6-3-19 12:03","41,544617","0,666033","0,7","5","4,24","","0","pica","2019","03","06","2019-03-06","12:03:00","2019-03-06 12:03:00","0.666033","41.544617","PTS_GUE03","0,7","0","0","3600","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",12,805792.597201491,4605710.40865248,805792.597201491,4605710.40865248,0.00866904470730412,"NO"
"12","13","GUE03","PTEALC","6/3/19","13:03:00","6-3-19 13:03","41,544483","0,666083","0,3","13","4,24","","0","pica","2019","03","06","2019-03-06","13:03:00","2019-03-06 13:03:00","0.666083","41.544483","PTS_GUE03","0,3","0","0","3600","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",13,805797.40083156,4605695.70552164,805797.40083156,4605695.70552164,0.00429545457718398,"NO"
"13","14","GUE03","PTEALC","6/3/19","14:04:00","6-3-19 14:04","41,54445","0,665983","0","32","4,24","","0","pica","2019","03","06","2019-03-06","14:04:00","2019-03-06 14:04:00","0.665983","41.54445","PTS_GUE03","0","0","0","3660","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",14,805789.213909711,4605691.68644699,805789.213909711,4605691.68644699,0.00249118629420307,"NO"
"14","15","GUE03","PTEALC","6/3/19","15:04:00","6-3-19 15:04","41,544683","0,658367","1","3","4,26","","0","pica","2019","03","06","2019-03-06","15:04:00","2019-03-06 15:04:00","0.658367","41.544683","PTS_GUE03","1","0","0","3600","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",15,805152.741454508,4605690.5901045,805152.741454508,4605690.5901045,0.176749069548336,"NO"
"15","16","GUE03","PTEALC","6/3/19","16:04:00","6-3-19 16:04","41,544533","0,658167","3,7","3","4,27","","0","pica","2019","03","06","2019-03-06","16:04:00","2019-03-06 16:04:00","0.658167","41.544533","PTS_GUE03","3,7","0","0","3600","0","3134","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_GUE03",16,805136.762535987,4605673.22547728,805136.762535987,4605673.22547728,0.00655312384184838,"NO"
