"","X","id_datoGPS","id_emisor","Especie","Fecha_D.M.Y","Hora_H.M.S","Fecha_hora","Lat","Lon","KM.H","T_GPS","Bateria","Bat_2","temperatura","logger_type","year","month","day","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","device_id","speed_km_h","hdop","altitude","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"15","16","36496","PIC02","PTEALC","17/4/18","05:01:00","17-4-18 5:01","41,529283","0,681367","0","24","4,14","","0","pica","2018","04","17","2018-04-17","05:01:00","2018-04-17 05:01:00","0.681367","41.529283","PTS_PIC02","0","0","0","35700","0","7439","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_PIC02",16,807144.505820324,4604062.07551591,807144.505820324,4604062.07551591,0.0016425557654881,"NO"
"16","17","36497","PIC02","PTEALC","17/4/18","06:01:00","17-4-18 6:01","41,5296","0,680817","0,6","12","4,14","","0","pica","2018","04","17","2018-04-17","06:01:00","2018-04-17 06:01:00","0.680817","41.5296","PTS_PIC02","0,6","0","0","3600","0","7439","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_PIC02",17,807097.108981362,4604095.31995833,807097.108981362,4604095.31995833,0.0160770522227636,"NO"
"17","18","36498","PIC02","PTEALC","17/4/18","07:02:00","17-4-18 7:02","41,529367","0,680717","0,2","8","4,15","","0","pica","2018","04","17","2018-04-17","07:02:00","2018-04-17 07:02:00","0.680717","41.529367","PTS_PIC02","0,2","0","0","3660","0","7439","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_PIC02",18,807089.867960464,4604069.08993792,807089.867960464,4604069.08993792,0.00743270798712872,"NO"
"18","19","36499","PIC02","PTEALC","17/4/18","08:02:00","17-4-18 8:02","41,5295","0,680683","0,1","20","4,16","","0","pica","2018","04","17","2018-04-17","08:02:00","2018-04-17 08:02:00","0.680683","41.5295","PTS_PIC02","0,1","0","0","3600","0","7439","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_PIC02",19,807086.400874464,4604083.73827297,807086.400874464,4604083.73827297,0.00418024243547685,"NO"
"19","20","36500","PIC02","PTEALC","17/4/18","09:02:00","17-4-18 9:02","41,529633","0,6805","0,1","10","4,16","","0","pica","2018","04","17","2018-04-17","09:02:00","2018-04-17 09:02:00","0.6805","41.529633","PTS_PIC02","0,1","0","0","3600","0","7439","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_PIC02",20,807070.500386734,4604097.85633148,807070.500386734,4604097.85633148,0.00590494404226557,"NO"
"20","21","36501","PIC02","PTEALC","17/4/18","10:03:00","17-4-18 10:03","41,5305","0,680717","0","10","4,16","","0","pica","2018","04","17","2018-04-17","10:03:00","2018-04-17 10:03:00","0.680717","41.5305","PTS_PIC02","0","0","0","3660","0","7439","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_PIC02",21,807084.50169771,4604194.90697132,807084.50169771,4604194.90697132,0.0267837776172406,"NO"
"21","22","36502","PIC02","PTEALC","17/4/18","11:03:00","17-4-18 11:03","41,5311","0,680033","0,2","19","4,16","","0","pica","2018","04","17","2018-04-17","11:03:00","2018-04-17 11:03:00","0.680033","41.5311","PTS_PIC02","0,2","0","0","3600","0","7439","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_PIC02",22,807024.584277375,4604259.10141383,807024.584277375,4604259.10141383,0.024385569234333,"NO"
"22","23","36503","PIC02","PTEALC","17/4/18","12:03:00","17-4-18 12:03","41,530717","0,6798","0","6","4,17","","0","pica","2018","04","17","2018-04-17","12:03:00","2018-04-17 12:03:00","0.6798","41.530717","PTS_PIC02","0","0","0","3600","0","7439","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_PIC02",23,807006.955464742,4604215.74106673,807006.955464742,4604215.74106673,0.0129983322710647,"NO"
"23","24","36504","PIC02","PTEALC","17/4/18","13:03:00","17-4-18 13:03","41,530933","0,680483","0,4","7","4,17","","0","pica","2018","04","17","2018-04-17","13:03:00","2018-04-17 13:03:00","0.680483","41.530933","PTS_PIC02","0,4","0","0","3600","0","7439","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_PIC02",24,807062.924929678,4604242.15782969,807062.924929678,4604242.15782969,0.0171870142851031,"NO"
"24","25","36505","PIC02","PTEALC","17/4/18","14:04:00","17-4-18 14:04","41,53085","0,679967","2","7","4,17","","0","pica","2018","04","17","2018-04-17","14:04:00","2018-04-17 14:04:00","0.679967","41.53085","PTS_PIC02","2","0","0","3660","0","7439","NO_burst_boost","M","PTS","AD","VEBRO","Lleida","PTS_PIC02",25,807020.260850564,4604231.10463825,807020.260850564,4604231.10463825,0.0120384129165302,"NO"
