"Date Last Researched","Country/Area","Project Name","Phase Name","Project Name in Local Language / Script","Other Name(s)","Capacity (MW)","Capacity Rating","Technology Type","Status","Start year","Retired year","Operator","Operator Name in Local Language / Script","Owner","Owner Name in Local Language / Script","Hydrogen","Latitude","Longitude","Location accuracy","City","Local area (taluk, county)","Major area (prefecture, district)","State/Province","Subregion","Region","GEM location ID","GEM phase ID","Other IDs (location)","Other IDs (unit/phase)","Wiki URL"
"2024/03/20","Spain","Abarloar solar farm","--","Planta fotovoltaica Abarloar Solar",NA,82.5,"MWac","PV","pre-construction",NA,NA,NA,NA,"Abarloar Solar SL",NA,NA,"40.4254","-3.1831","approximate","Pezuela de las Torres",NA,"Madrid","Comunidad de Madrid","Southern Europe","Europe","L100000824286","G100000827393",NA,NA,"https://www.gem.wiki/Abarloar_solar_farm"
"2024/01/26","Spain","Abedul 2 New Energy solar farm","--","Instalación fotovoltaica Abedul II",NA,51.6,"MWac","PV","pre-construction",NA,NA,"Progressum Energy Developments",NA,"Progressum Energy Developments",NA,NA,"41.6142","-0.7043","approximate",NA,"Zaragoza",NA,"Aragón","Southern Europe","Europe","L100000824287","G100000827394",NA,NA,"https://www.gem.wiki/Abedul_2_New_Energy_solar_farm"
"2021/08/09","Spain","Abertura solar farm","1",NA,NA,23,"unknown","PV","operating",2008,NA,"Iberdrola",NA,"LongSol",NA,NA,"39.2226","-5.7853","exact","Abertura","Miajadas","Cáceres","Extremadura","Southern Europe","Europe","L100000805860","G100000806742",NA,"WKSL: 1072895","https://www.gem.wiki/Abertura_solar_farm"
"2024/02/27","Spain","Abeto New Energy solar farm","--","Planta solar fotovoltaica Abeto New Energy",NA,75,"MWac","PV","pre-construction",NA,NA,NA,NA,"Abeto New Energy SLU",NA,NA,"42.4927","-1.6669","approximate","Olite",NA,"Navarra","Aragón","Southern Europe","Europe","L100001003309","G100001003790",NA,NA,"https://www.gem.wiki/Abeto_New_Energy_solar_farm"
"2024/02/27","Spain","Abeto solar farm","--","Planta fotovoltaica Abeto Solar",NA,50,"MWac","PV","pre-construction",NA,NA,"Abeto Solar",NA,"Total Solar Ibérica",NA,NA,"40.3974","-3.3104","approximate","Pozuelo del Rey",NA,"Madrid","Área metropolitana de Madrid","Southern Europe","Europe","L100000824288","G100000827395",NA,NA,"https://www.gem.wiki/Abeto_solar_farm"
"2024/01/30","Spain","Acampo Estrén solar farm","--","Planta Fotovoltaica Acampo Estrén",NA,24.9,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"Parque Fotovoltaico Estrén SL",NA,NA,"41.5468","-0.8604","approximate","Zaragoza",NA,"Zaragoza","Aragón","Southern Europe","Europe","L100001000586","G100001000897",NA,NA,"https://www.gem.wiki/Acampo_Estrén_solar_farm"
"2024/01/30","Spain","Acampo de Orús solar farm","--",NA,NA,258.9,"MWp/dc","PV","shelved - inferred 2 y",NA,NA,"Ener Delta",NA,NA,NA,NA,"41.3473","-0.7809","approximate",NA,NA,NA,"Aragón","Southern Europe","Europe","L100000824290","G100000827397",NA,NA,"https://www.gem.wiki/Acampo_de_Orús_solar_farm"
"2024/04/15","Spain","Acebuche solar farm","--",NA,NA,50,"MWp/dc","PV","pre-construction",NA,NA,NA,NA,"Hanwha Energy Corp","한화에너지",NA,"38.6590","-4.2902","approximate","Brazatortas",NA,"Ciudad Real","Castilla-La Mancha","Southern Europe","Europe","L100001005471","G100001006511",NA,NA,"https://www.gem.wiki/Acebuche_solar_farm"
"2024/03/15","Spain","Acequia solar farm","--","Parque solar fotovoltaico Acequia Solar",NA,42.5,"MWac","PV","pre-construction",NA,NA,NA,NA,"Acequia Solar SL",NA,NA,"40.6587","-3.1626","approximate","Guadalajara",NA,"Guadalajara","Castilla-La Mancha","Southern Europe","Europe","L100000824291","G100000827398",NA,NA,"https://www.gem.wiki/Acequia_solar_farm"
"2024/04/19","Spain","Adaja 1 solar farm","--",NA,NA,51.7,"unknown","PV","pre-construction",NA,NA,NA,NA,"Rin Power",NA,NA,"41.8676","-3.5387","approximate",NA,NA,NA,"Castilla y León","Southern Europe","Europe","L100001005629","G100001006749",NA,NA,"https://www.gem.wiki/Adaja_1_solar_farm"
